1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
1271,IL,Illinois,9,H8IL09067,(I),Janice D.,Schakowsky,"Schakowsky, Janice D.",,D,"48,124",91.85%,,,"194,869",66.33%,,,,,W,
1274,IL,Illinois,9,H2IL09110,,Timothy C.,Wolfe,"Wolfe, Timothy C.",,R,"32,043",100.00%,,,"98,924",33.67%,,,,,,
1276,IL,Illinois,9,n/a,,Hilaire Fuji ,Shioura,"Shioura, Hilaire Fuji ",,W,,,,,8,0.00%,,,,,,
1277,IL,Illinois,9,n/a,,Susanne,Atanus,"Atanus, Susanne",,W,,,,,6,0.00%,,,,,,
1280,IL,Illinois,10,H2IL10068,,Brad,Schneider,"Schneider, Brad",,D,"15,530",46.88%,,,"133,890",50.63%,,,,,W,
1286,IL,Illinois,10,H0IL10302,(I),Robert,Dold,"Dold, Robert",,R,"36,647",100.00%,,,"130,564",49.37%,,,,,,
1290,IL,Illinois,11,H8IL14067,,Bill,Foster,"Foster, Bill",,D,"12,126",58.48%,,,"148,928",58.57%,,,,,W,
1294,IL,Illinois,11,H8IL13069,(I),Judy,Biggert,"Biggert, Judy",,R,"31,471",99.88%,,,"105,348",41.43%,,,,,,
1297,IL,Illinois,11,n/a,,Chris,Michel,"Michel, Chris",,W,,,,,19,0.01%,,,,,,
1300,IL,Illinois,12,H2IL12122,,William L.,Enyart,"Enyart, William L. #",,D,#,,,,"157,000",51.65%,,,,,W,#  Brad Harriman withdrew after the primary election and William Enyart was selected by the party to fill the vacancy on the general election ballot.
1305,IL,Illinois,12,H2IL12098,,Jason,Plummer,"Plummer, Jason",,R,"25,280",55.68%,,,"129,902",42.74%,,,,,,
1309,IL,Illinois,12,H2IL12130,,Paula,Bradshaw,"Bradshaw, Paula",,GRE,,,,,"17,045",5.61%,,,,,,
1310,IL,Illinois,12,H2IL12130,,Shon-Tiyon,Horton,"Horton, Shon-Tiyon",,W,,,,,2,0.00%,,,,,,
1313,IL,Illinois,13,H2IL13120,,Rodney,Davis,"Davis, Rodney #",,R,#,,,,"137,034",46.55%,,,,,W,#  Tim Johnson withdrew after the primary election and Rodney Davis was selected by the party to fill the vacancy on the general election ballot.
1318,IL,Illinois,13,H4IL15055,,David M.,Gill,"Gill, David M.",,D,"15,536",50.26%,,,"136,032",46.21%,,,,,,
1321,IL,Illinois,13,H2IL13138,,John,Hartman,"Hartman, John ",,IND,,,,,"21,319",7.24%,,,,,,
1324,IL,Illinois,14,H0IL14080,(I),Randy M.,Hultgren,"Hultgren, Randy M.",,R,"64,419",100.00%,,,"177,603",58.82%,,,,,W,
1327,IL,Illinois,14,H2IL14078,,Dennis,Anderson,"Anderson, Dennis",,D,"9,344",74.15%,,,"124,351",41.18%,,,,,,
1332,IL,Illinois,15,H2IL20042,(I),John M.,Shimkus,"Shimkus, John M.",,R,"66,709",100.00%,,,"205,775",68.61%,,,,,W,
1334,IL,Illinois,15,H2IL15083,,Angela,Michael,"Michael, Angela",,D,"16,831",100.00%,,,"94,162",31.39%,,,,,,
1338,IL,Illinois,16,H0IL11052,(I),Adam,Kinzinger,"Kinzinger, Adam",,R,"45,546",53.94%,,,"181,789",61.81%,,,,,W,
1341,IL,Illinois,16,H2IL16057,,Wanda,Rohl,"Rohl, Wanda",,D,,,,,"112,301",38.19%,,,,,,
1344,IL,Illinois,17,H2IL17071,,Cheri,Bustos,"Bustos, Cheri",,D,"18,652",54.40%,,,"153,519",53.28%,,,,,W,
1348,IL,Illinois,17,H0IL17059,(I),Bobby ,Schilling,"Schilling, Bobby ",,R,"46,263",100.00%,,,"134,623",46.72%,,,,,,
1350,IL,Illinois,17,H2IL17089,,Eric,Reyes,"Reyes, Eric",,W,,,,,10,0.00%,,,,,,
1351,IL,Illinois,17,n/a,,Joe,Faber,"Faber, Joe",,W,,,,,9,0.00%,,,,,,
1354,IL,Illinois,18,H8IL18043,(I),Aaron,Schock,"Schock, Aaron",,R,"87,441",100.00%,,,"244,467",74.16%,,,,,W,
1356,IL,Illinois,18,H4IL18091,,Steve,Waterworth,"Waterworth, Steve",,D,"10,211",69.58%,,,"85,164",25.84%,,,,,,
1364,IN,Indiana,1,H4IN01012,(I),Peter J. ,Visclosky,"Visclosky, Peter J. ",,D,"42,219",100.00%,,,"187,743",67.28%,,,,,W,
1366,IN,Indiana,1,H2IN01123,,Joel ,Phelps,"Phelps, Joel ",,R,"17,164",58.95%,,,"91,291",32.72%,,,,,,
1371,IN,Indiana,2,H0IN02190,,Jackie,Walorski,"Walorski, Jackie",,R,"46,873",72.79%,,,"134,033",49.01%,,,,,W,
1374,IN,Indiana,2,H2IN02204,,Brendan,Mullen,"Mullen, Brendan",,D,"11,218",54.10%,,,"130,113",47.58%,,,,,,
1377,IN,Indiana,2,H2IN02246,,Joseph Wayne,Ruiz,"Ruiz, Joseph Wayne",,LIB,*,,,,"9,326",3.41%,,,,,,* The Libertarian Party nominated by convention on 3/24/2012.  Convention nominees are noted with an asterisk.
1378,IN,Indiana,2,H2IN02253,,"Kenneth R., Jr.",Lunce,"Lunce, Kenneth R., Jr.",,W,,,,,3,0.00%,,,,,,
1381,IN,Indiana,3,H0IN03198,(I),Marlin A. ,Stutzman,"Stutzman, Marlin A. ",,R,"74,812",100.00%,,,"187,872",67.04%,,,,,W,
1383,IN,Indiana,3,H6IN00027,,Kevin R.,Boyd,"Boyd, Kevin R.",,D,"5,985",47.79%,,,"92,363",32.96%,,,,,,
1392,IN,Indiana,4,H0IN04170,(I),Todd,Rokita,"Rokita, Todd",,R,"73,089",100.00%,,,"168,688",61.96%,,,,,W,
1394,IN,Indiana,4,H2IN04135,,Tara E.,Nelson,"Nelson, Tara E.",,D,"7,018",58.35%,,,"93,015",34.16%,,,,,,
1397,IN,Indiana,4,H2IN04150,,Benjamin J.,Gelhausen,"Gelhausen, Benjamin J.",,LIB,*,,,,"10,565",3.88%,,,,,,* The Libertarian Party nominated by convention on 3/24/2012.  Convention nominees are noted with an asterisk.
1400,IN,Indiana,5,H2IN05082,,Susan ,Brooks,"Brooks, Susan ",,R,"31,185",29.95%,,,"194,570",58.37%,,,,,W,
1409,IN,Indiana,5,H2IN05090,,Scott,Reske,"Reske, Scott",,D,"13,175",63.14%,,,"125,347",37.60%,,,,,,
1412,IN,Indiana,5,H0IN05169,,Chard,Reid,"Reid, Chard",,LIB,*,,,,"13,442",4.03%,,,,,,* The Libertarian Party nominated by convention on 3/24/2012.  Convention nominees are noted with an asterisk.
1415,IN,Indiana,6,H0IN02125,,Luke,Messer,"Messer, Luke",,R,"32,859",40.35%,,,"162,613",59.08%,,,,,W,
1424,IN,Indiana,6,H2IN06213,,Bradley T.,Bookout,"Bookout, Bradley T.",,D,"8,278",30.95%,,,"96,678",35.12%,,,,,,
1430,IN,Indiana,6,H2IN06270,,Rex,Bell,"Bell, Rex",,LIB,*,,,,"15,962",5.80%,,,,,,* The Libertarian Party nominated by convention on 3/24/2012.  Convention nominees are noted with an asterisk.
1433,IN,Indiana,7,H8IN07184,(I),Andre D. ,Carson,"Carson, Andre D. ",,D,"34,782",90.35%,,,"162,122",62.85%,,,,,W,
1438,IN,Indiana,7,H0IN07157,,Carlos A. ,May,"May, Carlos A. ",,R,"10,783",26.79%,,,"95,828",37.15%,,,,,,
1448,IN,Indiana,8,H0IN08114,(I),Larry D. ,Bucshon,"Bucshon, Larry D. ",,R,"34,511",58.03%,,,"151,533",53.36%,,,,,W,
1451,IN,Indiana,8,H2IN08094,,Dave,Crooks,"Crooks, Dave",,D,"18,634",57.70%,,,"122,325",43.07%,,,,,,
1455,IN,Indiana,8,H2IN08144,,Bart,Gadau,"Gadau, Bart",,LIB,*,,,,"10,134",3.57%,,,,,,* The Libertarian Party nominated by convention on 3/24/2012.  Convention nominees are noted with an asterisk.
1458,IN,Indiana,9,H0IN09070,(I),Todd,Young,"Young, Todd",,R,"59,327",100.00%,,,"165,332",55.45%,,,,,W,
1460,IN,Indiana,9,H2IN09167,,Shelli ,Yoder,"Yoder, Shelli ",,D,"13,186",47.67%,,,"132,848",44.55%,,,,,,
1481,IA,Iowa,1,H6IA01055,(I),Bruce ,Braley,"Braley, Bruce ",,D,"11,912",99.23%,,,"222,422",56.91%,,,,,W,
1484,IA,Iowa,1,H0IA01117,,Ben,Lange,"Lange, Ben",,R,"13,217",53.06%,,,"162,465",41.57%,,,,,,
1488,IA,Iowa,1,H2IA01063,,Gregory,Hughes,"Hughes, Gregory",,NP,,,,,"4,772",1.22%,,,,,,
1489,IA,Iowa,1,H2IA01071,,"George Todd, II",Krail,"Krail, George Todd, II",,NP,,,,,931,0.24%,,,,,,
1490,IA,Iowa,1,n/a,,,Scattered,Scattered,,W,,,,,259,0.07%,,,,,,
1493,IA,Iowa,2,H6IA02146,(I),Dave ,Loebsack,"Loebsack, Dave ",,D,"17,467",81.55%,,,"211,863",55.57%,,,,,W,
1497,IA,Iowa,2,H2IA02053,,John ,Archer,"Archer, John ",,R,"16,604",60.52%,,,"161,977",42.48%,,,,,,
1501,IA,Iowa,2,H2IA02103,,Alan,Aversa,"Aversa, Alan",,NP,,,,,"7,112",1.87%,,,,,,
1502,IA,Iowa,2,n/a,,,Scattered,Scattered,,W,,,,,323,0.08%,,,,,,
1505,IA,Iowa,3,H4IA05102,(I),Tom ,Latham,"Latham, Tom ",,R,"27,757",99.22%,,,"202,000",52.22%,,,,,W,
1508,IA,Iowa,3,H6IA03144,(I),Leonard ,Boswell,"Boswell, Leonard ",,D,"8,382",98.30%,,,"168,632",43.59%,,,,,,
1511,IA,Iowa,3,H0IA03170,,Scott G.,Batcher,"Batcher, Scott G.",,NP,,,,,"9,352",2.42%,,,,,,
1512,IA,Iowa,3,H2IA03085,,David,Rosenfeld,"Rosenfeld, David",,SWP,,,,,"6,286",1.62%,,,,,,
1513,IA,Iowa,3,n/a,,,Scattered,Scattered,,W,,,,,572,0.15%,,,,,,
1516,IA,Iowa,4,H2IA05072,(I),Steve,King,"King, Steve",,R,"38,238",98.91%,,,"200,063",52.94%,,,,,W,
1519,IA,Iowa,4,H2IA04117,,Christie ,Vilsack,"Vilsack, Christie ",,D,"10,765",99.19%,,,"169,470",44.85%,,,,,,
1522,IA,Iowa,4,H0IA05100,,Martin James,Monroe,"Monroe, Martin James",,NP,,,,,"8,124",2.15%,,,,,,
1523,IA,Iowa,4,n/a,,,Scattered,Scattered,,W,,,,,226,0.06%,,,,,,
1529,KS,Kansas,1,H6KS01146,(I),Tim,Huelskamp,"Huelskamp, Tim",,R,"79,633",100.00%,,,"211,337",100.00%,,,,,W,
1533,KS,Kansas,2,H8KS02090,(I),Lynn,Jenkins,"Jenkins, Lynn",,R,"64,008",100.00%,,,"167,463",57.01%,,,,,W,
1535,KS,Kansas,2,H2KS02119,,Tobias,Schlingensiepen,"Schlingensiepen, Tobias",,D,"11,747",39.52%,,,"113,735",38.72%,,,,,,
1539,KS,Kansas,2,H0KS02097,,Dennis,Hawver,"Hawver, Dennis",,LIB,*,,,,"12,520",4.26%,,,,,,"*  The Libertarian Party nominated by convention on March 24, 2012.  Convention nominees are noted with an asterisk."
1542,KS,Kansas,3,H0KS03137,(I),Kevin,Yoder,"Yoder, Kevin",,R,"50,270",100.00%,,,"201,087",68.45%,,,,,W,
1544,KS,Kansas,3,H8KS03056,,Joel,Balam,"Balam, Joel",,LIB,*,,,,"92,675",31.55%,,,,,,"*  The Libertarian Party nominated by convention on March 24, 2012.  Convention nominees are noted with an asterisk."
1547,KS,Kansas,4,H0KS04051,(I),Mike,Pompeo,"Pompeo, Mike",,R,"60,195",100.00%,,,"161,094",62.22%,,,,,W,
1549,KS,Kansas,4,H0KS04101,,Robert Leon,Tillman,"Tillman, Robert Leon",,D,"11,224",70.85%,,,"81,770",31.58%,,,,,,
1552,KS,Kansas,4,H2KS04107,,Thomas,Jefferson,"Jefferson, Thomas",,LIB,*,,,,"16,058",6.20%,,,,,,"*  The Libertarian Party nominated by convention on March 24, 2012.  Convention nominees are noted with an asterisk."
1558,KY,Kentucky,1,H4KY01040,(I),Edward ,Whitfield,"Whitfield, Edward ",,R,Unopposed,,,,"199,956",69.63%,,,,,W,
1559,KY,Kentucky,1,H4KY01016,,Charles Kendall,Hatchett,"Hatchett, Charles Kendall",,D,"19,127",59.10%,,,"87,199",30.37%,,,,,,
1564,KY,Kentucky,2,H8HY02031,(I),S. Brett,Guthrie,"Guthrie, S. Brett",,R,Unopposed,,,,"181,508",64.30%,,,,,W,
1565,KY,Kentucky,2,H2KY02083,,David Lynn,Williams,"Williams, David Lynn",,D,Unopposed,,,,"89,541",31.72%,,,,,,
1566,KY,Kentucky,2,H2KY02117,,Andrew R.,Beacham,"Beacham, Andrew R.",,IND,,,,,"6,304",2.23%,,,,,,
1567,KY,Kentucky,2,H2KY02109,,Craig R.,Astor,"Astor, Craig R.",,LIB,,,,,"4,914",1.74%,,,,,,
1570,KY,Kentucky,3,H6KY03124,(I),John A. ,Yarmuth,"Yarmuth, John A. ",,D,"43,635",86.66%,,,"206,385",63.96%,,,,,W,
1573,KY,Kentucky,3,H0KY03226,,Brooks,Wicker,"Wicker, Brooks",,R,Unopposed,,,,"111,452",34.54%,,,,,,
1574,KY,Kentucky,3,H2KY03164,,"Robert L., Jr.",Devore,"Devore, Robert L., Jr.",,IND,,,,,"4,819",1.49%,,,,,,
1577,KY,Kentucky,04 - FULL TERM,H2KY04121,,Thomas ,Massie,"Massie, Thomas ",,R,"19,689",44.83%,,,"186,036",62.13%,,,,,W,
1585,KY,Kentucky,04 - FULL TERM,H2KY04139,,"William R. ""Bill""",Adkins,"Adkins, William R. ""Bill""",,D,"17,209",68.62%,,,"104,734",34.98%,,,,,,
1588,KY,Kentucky,04 - FULL TERM,H2KY04188,,David,Lewis,"Lewis, David",,IND,,,,,"8,674",2.90%,,,,,,
1591,KY,Kentucky,04 - UNEXPIRED TERM,H2KY04121,,Thomas ,Massie,"Massie, Thomas ",,R,*,,,,"174,092",59.89%,,,,,W,*  Thomas Massie was nominated for the special election in accordance with party rules.
1592,KY,Kentucky,04 - UNEXPIRED TERM,H2KY04139,,"William R. ""Bill""",Adkins,"Adkins, William R. ""Bill""",,D,*,,,,"106,598",36.67%,,,,,,*  William Adkins was nominated for the special election in accordance with party rules.
1593,KY,Kentucky,04 - UNEXPIRED TERM,H2KY04188,,David,Lewis,"Lewis, David",,IND,,,,,"9,987",3.44%,,,,,,
1596,KY,Kentucky,5,H0KY05015,(I),"Harold ""Hal"" ",Rogers,"Rogers, Harold ""Hal"" ",,R,Unopposed,,,,"195,408",77.90%,,,,,W,
1597,KY,Kentucky,5,H6KY05111,,Kenneth S. ,Stepp,"Stepp, Kenneth S. ",,D,"12,275",52.70%,,,"55,447",22.10%,,,,,,
1602,KY,Kentucky,6,H0KY06104,,"Garland ""Andy""",Barr,"Barr, Garland ""Andy""",,R,"20,104",82.80%,,,"153,222",50.57%,,,,,W,
1606,KY,Kentucky,6,H4KY06072,(I),Ben ,Chandler,"Chandler, Ben ",,D,Unopposed,,,,"141,438",46.68%,,,,,,
1607,KY,Kentucky,6,H2KY06167,,Randolph,Vance,"Vance, Randolph",,IND,,,,,"8,340",2.75%,,,,,,
1613,LA,Louisiana,1,H0LA01087,(I),"""Steve""",Scalise,"Scalise, ""Steve""",,R,n/a,,,,"193,496",66.63%,,,,,W,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1614,LA,Louisiana,1,H6LA02173,,"M. V. ""Vinny""",Mendoza,"Mendoza, M. V. ""Vinny""",,D,n/a,,,,"61,703",21.25%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1615,LA,Louisiana,1,H2LA01075,,Gary,King,"King, Gary",,R,n/a,,,,"24,844",8.55%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1616,LA,Louisiana,1,H2LA01083,,"David ""Turk""",Turknett,"Turknett, David ""Turk""",,NPA,n/a,,,,"6,079",2.09%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1617,LA,Louisiana,1,H0LA01186,,Arden,Wells,"Wells, Arden",,NPA,n/a,,,,"4,288",1.48%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1620,LA,Louisiana,2,H8LA02054,(I),Cedric,Richmond,"Richmond, Cedric",,D,n/a,,,,"158,501",55.16%,,,,,W,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1621,LA,Louisiana,2,H2LA02107,,Gary,Landrieu,"Landrieu, Gary",,D,n/a,,,,"71,916",25.03%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1622,LA,Louisiana,2,H2LA02115,,Dwayne ,Bailey,"Bailey, Dwayne ",,R,,,,,"38,801",13.50%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1623,LA,Louisiana,2,H2LA02099,,Josue,Larose,"Larose, Josue",,R,n/a,,,,"11,345",3.95%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1624,LA,Louisiana,2,H2LA02123,,Caleb,Trotter,"Trotter, Caleb",,LIB,n/a,,,,"6,791",2.36%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1627,LA,Louisiana,3,H4LA07029,(I),"Charles W., Jr.",Boustany,"Boustany, Charles W., Jr.",,R,n/a,,,,"139,123",44.68%,"58,820",60.90%,,,WW,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1628,LA,Louisiana,3,H0LA03141,(I),"""Jeff"" ",Landry,"Landry, ""Jeff"" ",,R,n/a,,,,"93,527",30.04%,"37,767",39.10%,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1629,LA,Louisiana,3,H2LA03055,,"""Ron""",Richard,"Richard, ""Ron""",,D,n/a,,,,"67,070",21.54%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1630,LA,Louisiana,3,H2LA03063,,Bryan,Barrilleaux,"Barrilleaux, Bryan",,R,,,,,"7,908",2.54%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1631,LA,Louisiana,3,H2LA03071,,"""Jim""",Stark,"Stark, ""Jim""",,LIB,n/a,,,,"3,765",1.21%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1634,LA,Louisiana,4,H8LA04225,(I),John,Fleming,"Fleming, John",,R,n/a,,,,"187,894",75.30%,,,,,W,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1635,LA,Louisiana,4,H2LA04129,,Randall,Lord,"Lord, Randall",,LIB,n/a,,,,"61,637",24.70%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1638,LA,Louisiana,5,H2LA05084,(I),Rodney ,Alexander,"Alexander, Rodney ",,R,,,,,"202,536",77.83%,,,,,W,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1639,LA,Louisiana,5,H4LA07011,,"""Ron""",Ceasar,"Ceasar, ""Ron""",,NPA,n/a,,,,"37,486",14.41%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1640,LA,Louisiana,5,H2LA05118,,Clay Steven,Grant,"Grant, Clay Steven",,LIB,n/a,,,,"20,194",7.76%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1643,LA,Louisiana,6,H8LA00017,(I),"William ""Bill""",Cassidy,"Cassidy, William ""Bill""",,R,n/a,,,,"243,553",79.41%,,,,,W,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1644,LA,Louisiana,6,H4LA06047,,"Rufus Holt, Jr.",Craig,"Craig, Rufus Holt, Jr.",,LIB,n/a,,,,"32,185",10.49%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1645,LA,Louisiana,6,H4LA02038,,"Richard ""RPT""",Torregano,"Torregano, Richard ""RPT""",,NPA,n/a,,,,"30,975",10.10%,,,,,,"*  In Louisiana, a Congressional primary election is not held. The election for candidates seeking Federal office is the General Election on 11/6/2012, with a Runoff Election held on 12/8/12, if necessary."
1651,ME,Maine,1,H8ME01120,(I),Chellie,Pingree,"Pingree, Chellie",,D,"31,965",100.00%,,,"236,363",64.79%,,,,,W,
1653,ME,Maine,1,H2ME01123,,Jonathan T.E.,Courtney,"Courtney, Jonathan T.E.",,R,"14,588",50.45%,,,"128,440",35.21%,,,,,,
1658,ME,Maine,2,H2ME02097,(I),Michael H.,Michaud,"Michaud, Michael H.",,D,"21,895",100.00%,,,"191,456",58.19%,,,,,W,
1660,ME,Maine,2,H2ME02071,,Kevin L.,Raye,"Raye, Kevin L.",,R,"18,703",60.01%,,,"137,542",41.81%,,,,,,
1687,MD,Maryland,1,H8MD01094,(I),Andy,Harris,"Harris, Andy",,R,"44,599",100.00%,,,"214,204",63.42%,,,,,W,
1689,MD,Maryland,1,H2MD01147,,Wendy,Rosen,"Rosen, Wendy",,D,"10,907",43.07%,,,"92,812",27.48%,,,,,,
1690,MD,Maryland,1,H2MD01154,,John,LaFerla,"LaFerla, John",,D/W,"10,850",42.85%,,,"14,858",4.40%,,,,,,
1693,MD,Maryland,1,H2MD01170,,Muir Wayne,Boda,"Boda, Muir Wayne",,LIB,,,,,"12,857",3.81%,,,,,,
1694,MD,Maryland,1,n/a,,,Scattered,Scattered,,W,,,,,"2,932",0.87%,,,,,,
1695,MD,Maryland,1,H2MD01188,,Michael,Calpino,"Calpino, Michael",,W,,,,,71,0.02%,,,,,,
1696,MD,Maryland,1,H2MD01212,,Douglas Dryden,Rae,"Rae, Douglas Dryden",,W,,,,,26,0.01%,,,,,,
1699,MD,Maryland,2,H2MD02160,(I),C. A. Dutch ,Ruppersberger,"Ruppersberger, C. A. Dutch ",,D,"26,465",100.00%,,,"194,088",65.58%,,,,,W,
1701,MD,Maryland,2,H2MD02236,,Nancy C.,Jacobs,"Jacobs, Nancy C.",,R,"12,372",60.10%,,,"92,071",31.11%,,,,,,
1707,MD,Maryland,2,H2MD02293,,Leo Wayne,Dymowski,"Dymowski, Leo Wayne",,LIB,,,,,"9,344",3.16%,,,,,,
1708,MD,Maryland,2,n/a,,,Scattered,Scattered,,W,,,,,415,0.14%,,,,,,
1709,MD,Maryland,2,H8MD07042,,Ray ,Bly,"Bly, Ray ",,W,,,,,22,0.01%,,,,,,
1712,MD,Maryland,3,H6MD03292,(I),John ,Sarbanes,"Sarbanes, John ",,D,"32,527",86.42%,,,"213,747",66.83%,,,,,W,
1715,MD,Maryland,3,H2MD03143,,Eric Delano,Knowles,"Knowles, Eric Delano",,R,"6,845",33.45%,,,"94,549",29.56%,,,,,,
1720,MD,Maryland,3,H2MD03168,,"Paul W., Jr. ",Drgos,"Drgos, Paul W., Jr. ",,LIB,,,,,"11,028",3.45%,,,,,,
1721,MD,Maryland,3,n/a,,,Scattered,Scattered,,W,,,,,535,0.17%,,,,,,
1724,MD,Maryland,4,H6MD04183,(I),Donna F.,Edwards,"Edwards, Donna F.",,D,"42,815",91.80%,,,"240,385",77.17%,,,,,W,
1728,MD,Maryland,4,H2MD04273 ,,Faith M.,Loudon,"Loudon, Faith M.",,R,"9,175",61.31%,,,"64,560",20.72%,,,,,,
1733,MD,Maryland,4,H2MD04299,,Scott,Soffen,"Soffen, Scott",,LIB,,,,,"6,204",1.99%,,,,,,
1734,MD,Maryland,4,n/a,,,Scattered,Scattered,,W,,,,,363,0.12%,,,,,,
1737,MD,Maryland,5,H2MD05155,(I),Steny H. ,Hoyer,"Hoyer, Steny H. ",,D,"36,961",84.68%,,,"238,618",69.40%,,,,,W,
1740,MD,Maryland,5,H2MD05478,,Tony,O'Donnell,"O'Donnell, Tony",,R,"17,329",73.67%,,,"95,271",27.71%,,,,,,
1744,MD,Maryland,5,H2MD05445,,Bob,Auerbach,"Auerbach, Bob ",,GRE,*,,,,"5,040",1.47%,,,,,,"*  The Libertarian Party held a convention on March 3, 2012, and the Green Party held a convention on May 12, 2012.  Convention nominees are noted with an asterisk."
1745,MD,Maryland,5,H2MD05510,,Arvin,Vohra,"Vohra, Arvin",,LIB,*,,,,"4,503",1.31%,,,,,,"*  The Libertarian Party held a convention on March 3, 2012, and the Green Party held a convention on May 12, 2012.  Convention nominees are noted with an asterisk."
1746,MD,Maryland,5,n/a,,,Scattered,Scattered,,W,,,,,388,0.11%,,,,,,
1749,MD,Maryland,6,H2MD06195,,John ,Delaney,"Delaney, John ",,D,"20,414",54.17%,,,"181,921",58.77%,,,,,W,
1755,MD,Maryland,6,H2MD06054,(I),Roscoe G. ,Bartlett,"Bartlett, Roscoe G. ",,R,"17,600",43.59%,,,"117,313",37.90%,,,,,,
1764,MD,Maryland,6,H2MD06252,,Nickolaus,Mueller,"Mueller, Nickolaus",,LIB,,,,,"9,916",3.20%,,,,,,
1765,MD,Maryland,6,n/a,,,Scattered,Scattered,,W,,,,,399,0.13%,,,,,,
1768,MD,Maryland,7,H6MD07160,(I),Elijah,Cummings,"Cummings, Elijah",,D,"49,625",100.00%,,,"247,770",76.52%,,,,,W,
1770,MD,Maryland,7,H0MD07072,,Frank C. ,Mirabile,"Mirabile, Frank C. ",,R,"10,849",69.80%,,,"67,405",20.82%,,,,,,
1773,MD,Maryland,7,H8MD07067,,Ronald M.,Owens-Bey,"Owens-Bey, Ronald M.",,LIB,,,,,"8,211",2.54%,,,,,,
1774,MD,Maryland,7,n/a,,,Scattered,Scattered,,W,,,,,394,0.12%,,,,,,
1775,MD,Maryland,7,H0MD07056,,Charles U. ,Smith,"Smith, Charles U. ",,W,,,,,28,0.01%,,,,,,
